word,happiness_score,standard_deviation
unkind,2.84,1.88
weak,2.84,1.25
annoying,2.82,1.32
bills,2.82,1.64
blame,2.82,1.53
burden,2.82,1.53
complaining,2.82,1.14
danger,2.82,1.64
demise,2.82,1.73
despair,2.82,2.01
disabled,2.82,1.19
discrimination,2.82,1.49
filthy,2.82,1.83
gun,2.82,1.41
lied,2.82,1.21
missiles,2.82,1.59
mourners,2.82,1.6
obituary,2.82,1.7
prosecution,2.82,1.51
worry,2.82,1.71
mafia,2.81,1.79
wounds,2.8,2.02
burns,2.78,1.45
cowards,2.78,1.36
fever,2.78,1.56
mistake,2.78,1.2
trouble,2.78,1.47
troubled,2.78,1.43
wasted,2.78,1.17
bitches,2.76,1.92
bleeding,2.76,1.66
fighting,2.76,1.57
lose,2.76,1.1
lost,2.76,1.39
pathetic,2.76,1.29
unfortunately,2.76,1.57
neglect,2.76,2.17
defeated,2.74,1.61
loses,2.74,1.24
stressed,2.74,1.12
ugly,2.74,1.44
violation,2.74,1.08
unholy,2.73,1.4
addiction,2.72,1.46
arrests,2.72,1.59
disgrace,2.72,1.41
heartbreaker,2.72,1.73
mourn,2.72,1.88
struggling,2.72,1.21
desperation,2.7,1.91
distress,2.7,1.42
fight,2.7,1.74
spam,2.7,1.37
taxes,2.7,1.53
waste,2.7,1.05
worse,2.7,1.42
sorrows,2.69,1.78
bleed,2.69,1.57
ache,2.68,1.2
bastards,2.68,1.52
fears,2.68,1.27
injuries,2.68,1.5
jealous,2.68,1.2
misery,2.68,2.04
ruin,2.68,1.57
shame,2.68,1.3
stupid,2.68,1.22
trash,2.68,1.22
deaf,2.67,1.33
afraid,2.66,1.51
ban,2.66,1.32
drugs,2.66,1.64
loneliness,2.66,1.81
penalties,2.66,1.08
surgery,2.66,1.75
tensions,2.66,1.26
bad,2.64,1.47
curse,2.64,1.35
demons,2.64,2.07
enemy,2.64,1.32
guilty,2.64,1.59
inflation,2.64,1.34
motherfucking,2.64,2.46
sin,2.64,1.7
heartaches,2.63,2.02
beaten,2.62,1.59
lies,2.62,1.38
losing,2.62,1.18
nasty,2.62,1.23
retarded,2.62,1.54
rude,2.62,1.64
threatened,2.62,1.47
violated,2.62,1.38
thugs,2.61,2.08
abortion,2.6,1.53
brutal,2.6,2.08
crash,2.6,1.37
error,2.6,0.81
lie,2.6,1.62
mad,2.6,1.32
selfish,2.6,1.05
stole,2.6,1.41
worries,2.6,1.32
ashamed,2.59,1.31
infections,2.59,1.91
annoyed,2.58,1.64
blind,2.58,1.23
cheated,2.58,1.59
damage,2.58,1.5
disgusting,2.58,1.47
guilt,2.58,1.46
lying,2.58,1.7
motherfuckin,2.58,2.3
rotten,2.58,1.6
scared,2.58,1.43
scary,2.58,1.73
shitty,2.58,1.57
starving,2.58,1.47
stroke,2.58,1.6
betrayed,2.57,1.83
nightmares,2.56,1.65
assault,2.56,1.66
beating,2.56,1.9
grave,2.56,1.85
hopeless,2.56,1.66
loss,2.56,1.5
rage,2.56,1.51
satan,2.56,2.13
upset,2.56,1.43
corpse,2.55,1.96
abandoned,2.54,1.37
broke,2.54,1.28
cocaine,2.54,1.83
denied,2.54,1.2
harm,2.54,1.45
hurricane,2.54,1.57
miserable,2.54,1.67
pissed,2.54,1.33
ruined,2.54,1.62
tumor,2.53,2.0
attacked,2.52,1.55
bastard,2.52,1.3
destroy,2.52,1.81
failing,2.52,1.27
shooting,2.52,1.74
useless,2.52,1.42
motherfuckers,2.51,2.47
betray,2.5,1.63
psycho,2.5,1.47
shit,2.5,1.52
shot,2.5,1.66
stolen,2.5,1.39
crisis,2.48,1.67
damaged,2.48,1.03
haters,2.48,1.55
recession,2.48,1.5
saddam,2.48,1.57
slap,2.48,1.53
attacks,2.46,1.46
crashed,2.46,1.4
losses,2.46,1.45
panic,2.46,1.34
steal,2.46,1.68
stealing,2.46,1.31
tears,2.46,1.5
burial,2.44,1.92
cheat,2.44,1.23
dangerous,2.44,1.46
drowning,2.44,1.59
enemies,2.44,1.47
hating,2.44,1.45
prisoners,2.44,1.46
saddened,2.44,1.28
arrest,2.42,1.49
attack,2.42,1.43
flood,2.42,1.37
ill,2.42,1.23
killer,2.42,1.93
negative,2.42,1.05
worried,2.42,1.18
wounded,2.42,1.55
nigger,2.41,1.88
slaughter,2.41,1.84
asshole,2.4,1.6
flu,2.4,1.12
weapons,2.4,1.69
graveside,2.38,1.47
sad,2.38,1.61
victim,2.38,1.41
hurting,2.36,1.12
threat,2.36,1.31
frustration,2.34,1.19
hate,2.34,1.88
tragic,2.34,1.64
grief,2.33,1.78
accident,2.32,1.52
angry,2.32,1.24
fear,2.32,1.3
nightmare,2.32,1.87
poor,2.32,1.28
victims,2.32,1.5
anger,2.3,1.42
fired,2.3,1.57
fraud,2.3,1.18
theft,2.3,1.37
thieves,2.29,1.31
heartache,2.28,1.5
sadly,2.28,1.47
cheating,2.26,1.19
destruction,2.26,1.51
disappointed,2.26,1.03
bombing,2.24,1.48
devil,2.24,1.55
horrible,2.24,1.48
suffered,2.24,1.6
hatred,2.22,1.86
weep,2.22,1.42
hell,2.22,1.47
holocaust,2.22,1.79
injured,2.22,1.11
suffering,2.22,1.71
cried,2.2,1.29
crime,2.2,1.26
loser,2.2,1.11
depressed,2.18,1.79
divorce,2.18,1.32
hurt,2.18,1.37
robbed,2.18,1.42
tsunami,2.18,1.34
agony,2.16,1.88
drowned,2.16,1.6
homeless,2.16,1.28
pollution,2.16,1.18
corruption,2.14,1.31
crimes,2.14,1.37
hated,2.14,1.29
hurts,2.14,1.2
painful,2.12,1.45
sorrow,2.12,1.56
unemployment,2.12,1.0
unhappy,2.12,1.36
heartbreak,2.11,1.31
dying,2.1,1.47
funeral,2.1,1.56
pain,2.1,1.28
worst,2.1,1.34
dies,2.08,1.56
racist,2.08,1.35
rejected,2.08,1.12
robbery,2.08,1.32
suffer,2.08,1.38
virus,2.08,1.34
bankruptcy,2.06,1.6
fails,2.06,1.2
failure,2.06,1.22
hates,2.06,1.33
prison,2.06,1.48
slave,2.06,1.46
slaves,2.06,1.37
tragedy,2.06,1.38
violent,2.06,1.35
crying,2.04,1.24
destroyed,2.04,1.34
injury,2.04,1.24
rejection,2.02,1.33
motherfucker,2.02,1.66
sick,2.02,1.08
slavery,2.02,1.58
dead,2.0,1.32
disease,2.0,1.31
illness,2.0,1.18
killers,2.0,1.53
punishment,2.0,1.34
criminal,1.98,1.27
depression,1.98,1.56
headache,1.98,1.12
poverty,1.98,1.12
tumors,1.98,1.35
bomb,1.96,1.28
disaster,1.96,1.43
fail,1.96,1.03
poison,1.94,1.15
depressing,1.9,1.22
earthquake,1.9,1.2
evil,1.9,1.28
wars,1.9,1.33
abuse,1.88,1.24
diseases,1.88,0.94
sadness,1.88,1.19
violence,1.86,1.05
cruel,1.84,1.15
cry,1.84,1.28
failed,1.84,1.0
sickness,1.84,1.18
abused,1.83,1.31
tortured,1.82,1.42
fatal,1.8,1.53
killings,1.8,1.54
murdered,1.8,1.63
war,1.8,1.41
kills,1.78,1.23
jail,1.76,1.02
terror,1.76,1.0
die,1.74,1.19
killing,1.7,1.36
arrested,1.64,1.01
deaths,1.64,1.14
raped,1.64,1.43
torture,1.58,1.05
died,1.56,1.2
kill,1.56,1.05
killed,1.56,1.23
cancer,1.54,1.07
death,1.54,1.28
murder,1.48,1.01
terrorism,1.48,0.91
rape,1.44,0.79
suicide,1.3,0.84
terrorist,1.3,0.91
corona,1.72,0.97
coronavirus,1.34,0.66
covid,1.6,0.76
distancing,3.16,1.28
epidemic,1.72,0.99
kits,5.14,1.14
lockdown,2.04,0.9
masks,3.38,1.58
ncov19,1.84,1.04
outbreak,2.46,1.3
pandemic,1.6,1.01
quarantine,2.18,1.08
quarantined,2.14,1.01
sanitizer,5.14,1.55
self-quarantine,3.14,1.8
ventilator,2.98,1.7
ventilators,3.26,1.97
